Group_Indicator,Gender,Issue_Age_Bucket,Incurred_Age_Bucket,Issue_Year_Bucket,Policy_Year,Marital_Status,Premium_Class,Underwriting_Type,Coverage_Type_Bucket,Tax_Qualification_Status,Inflation_Rider,Rate_Increase_Flag,Restoration_of_Benefits,NH_Orig_Daily_Ben_Bucket,ALF_Orig_Daily_Ben_Bucket,HHC_Orig_Daily_Ben_Bucket,NH_Ben_Period_Bucket,ALF_Ben_Period_Bucket,HHC_Ben_Period_Bucket,NH_EP_Bucket,ALF_EP_Bucket,HHC_EP_Bucket,Region,Active_Exposure,Total_Exposure,Claim_Count,Count_NH,Count_ALF,Count_HHC,Count_Unk
Individual,Male,60-64,60-64,2009-2011, 1-3 years,Single,Standard,Full underwriting,Comprehensive,Tax-qualified,No inflation protection,Yes,Yes,200+,200+,200+,  3-4 year,  3-4 year,  3-4 year, 180, 180,  20,04: West,3,3,0,0,0,0,0
Group,Female,60-64,75-79,1994-1996,15+ years,Married,Standard,Other,Other,Non-tax-qualified,Inflation protection,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,   0,   0,   0,02: Northeast,2,2,0,0,0,0,0
Individual,Female,70-74,80-84,2003-2005,13-15 years,Married,Standard,Unknown,Other,Tax-qualified,No inflation protection,Yes,Yes, < 100, < 100, < 100,   < 3 year,   < 3 year,   < 3 year,  90,  90,  90,01: Mid-West,2.666666,2.666666,0,0,0,0,0
Individual,Male,65-69,80-84,1997-1999,13-15 years,Married,Preferred,Full underwriting,Other,Tax-qualified,GPO,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,   0,   0,   0,Unknown,9,9,0,0,0,0,0
Individual,Female,55-59,55-59,2000-2002, 1-3 years,Married,Preferred,Other,Comprehensive,Tax-qualified,No inflation protection,Yes,No,200+,200+,200+,Unknown,Unknown,Unknown,   0,   0,   0,02: Northeast,2,2,0,0,0,0,0
Individual,Male,80-84,90+,1997-1999, 7-9 years,Single,Standard,Full underwriting,Other,Tax-qualified,No inflation protection,Yes,Yes,100-199,100-199,Unknown,  3-4 year,  3-4 year,Unknown,  90,  90,   0,Unknown,3,3,0,0,0,0,0
Individual,Male,55-59,65-69,2006-2008, 7-9 years,Married,Preferred,Other,Comprehensive,Tax-qualified,No inflation protection,No,No,100-199,100-199,100-199,Unknown,Unknown,Unknown,  90,  90,   0,03: South,1.166666,1.166666,0,0,0,0,0
Individual,Female,60-64,80-84, < 1991,15+ years,Unknown,Standard,Unknown,Other,Non-tax-qualified,No inflation protection,Yes,No,100-199, < 100,Unknown,  3-4 year,  3-4 year,Unknown,  20,  20,   0,04: West,23.25,28.999998,3,1,2,0,0
Individual,Male,65-69,80-84, < 1991,10-12 years,Married,Standard,Other,Other,Non-tax-qualified,GPO,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,   0,   0,   0,04: West,5,5,0,0,0,0,0
Individual,Female,65-69,80-84,2000-2002,15+ years,Unknown,Standard,Unknown,Other,Non-tax-qualified,No inflation protection,Yes,Yes,100-199,100-199,100-199,  3-4 year,  3-4 year,  3-4 year,   0,   0,   0,03: South,4.2499981,4.6666641,1,0,0,1,0
Individual,Male,55-59,70-74,1994-1996,15+ years,Married,Preferred,Full underwriting,Comprehensive,Non-tax-qualified,Inflation protection,No,No, < 100, < 100, < 100, Unlimited, Unlimited,  3-4 year,  90,  90,  90,03: South,3,3,0,0,0,0,0
Group,Male,60-64,65-69,1997-1999, 1-3 years,Unknown,Standard,Unknown,Other,Tax-qualified,No inflation protection,No,No, < 100, < 100,Unknown,Unknown,Unknown,Unknown,   0,   0,   0,Unknown,27.916664,27.916664,0,0,0,0,0
Individual,Female,70-74,80-84,2003-2005,13-15 years,Unknown,Preferred,Unknown,Other,Tax-qualified,No inflation protection,Yes,Yes, < 100, < 100,Unknown, Unlimited, Unlimited,Unknown,  30,  30,   0,03: South,2,2,0,0,0,0,0
Individual,Female, 0-49,55-59,1997-1999,13-15 years,Married,Standard,Other,Comprehensive,Tax-qualified,Inflation protection,Yes,No,200+,100-199,100-199,Unknown,Unknown,Unknown,   0,   0,   0,03: South,9,9,0,0,0,0,0
Individual,Female,65-69,70-74,1997-1999, 1-3 years,Married,Preferred,Unknown,Other,Non-tax-qualified,No inflation protection,Yes,Yes,100-199,100-199,Unknown,  3-4 year,  3-4 year,Unknown,   0,   0,   0,04: West,2,2,0,0,0,0,0
Individual,Female,80-84,80-84,1997-1999, 4-6 years,Single,Standard,Full underwriting,Comprehensive,Tax-qualified,Inflation protection,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,   0,   0,   0,03: South,12.666666,12.666666,0,0,0,0,0
Individual,Male,50-54,75-79,1994-1996,15+ years,Married,Standard,Full underwriting,Comprehensive,Non-tax-qualified,Inflation protection,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,   0,   0,   0,02: Northeast,1.833333,1.833333,0,0,0,0,0
Individual,Female,75-79,85-89,2000-2002,13-15 years,Married,Preferred,Unknown,Comprehensive,Tax-qualified,Inflation protection,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,   0,   0,   0,04: West,2,2,0,0,0,0,0
Individual,Female,75-79,75-79,2009-2011, 4-6 years,Single,Standard,Unknown,Comprehensive,Tax-qualified,Inflation protection,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,   0,   0,   0,01: Mid-West,7.666666,7.666666,0,0,0,0,0
Individual,Male,65-69,75-79,2003-2005,10-12 years,Unknown,Standard,Unknown,Comprehensive,Tax-qualified,No inflation protection,No,Yes,100-199,200+,200+,   < 3 year,   < 3 year,   < 3 year,  90,  90,   0,03: South,6,6,0,0,0,0,0
Individual,Male,65-69,65-69,1994-1996, 4-6 years,Married,Preferred,Other,Comprehensive,Non-tax-qualified,Inflation protection,No,No, < 100, < 100, < 100,Unknown,Unknown,Unknown,   0,   0,   0,01: Mid-West,6.8333321,6.8333321,0,0,0,0,0
Group,Female, 0-49,60-64,2003-2005,13-15 years,Unknown,Standard,Other,Comprehensive,Tax-qualified,No inflation protection,No,No,200+,200+,200+,Unknown,Unknown,Unknown,   0,   0,   0,04: West,158.66666,158.66666,1,0,0,1,0
Individual,Male, 0-49,60-64,1994-1996,15+ years,Single,Standard,Other,Comprehensive,Non-tax-qualified,No inflation protection,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,   0,   0,   0,03: South,2,2,0,0,0,0,0
Individual,Male,60-64,75-79,1997-1999,13-15 years,Married,Preferred,Other,Comprehensive,Tax-qualified,No inflation protection,Yes,No,100-199,100-199,200+,   < 3 year,Unknown,   < 3 year,  90,  20,  20,01: Mid-West,3,3,0,0,0,0,0
Individual,Female,60-64,70-74,2000-2002,10-12 years,Married,Standard,Full underwriting,Comprehensive,Tax-qualified,No inflation protection,Yes,Yes,100-199,100-199,100-199,  3-4 year,  3-4 year,  3-4 year, 180, 180, 180,Unknown,3,3,0,0,0,0,0
Individual,Female,70-74,80-84,2003-2005,13-15 years,Single,Preferred,Full underwriting,Other,Tax-qualified,Inflation protection,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,   0,   0,   0,03: South,3,3,0,0,0,0,0
Individual,Female,55-59,65-69,1997-1999,10-12 years,Single,Standard,Full underwriting,Other,Tax-qualified,Unknown,No,No,Unknown,Unknown,Unknown, Unlimited, Unlimited,Unknown,   0,   0,   0,Unknown,116,116,0,0,0,0,0
Individual,Male,65-69,65-69,2012-2014, 4-6 years,Married,Standard,Full underwriting,Comprehensive,Tax-qualified,Inflation protection,No,No,100-199,100-199,100-199,Unknown,Unknown,Unknown, 180, 180, 180,01: Mid-West,4,4,0,0,0,0,0
Individual,Male,55-59,65-69,2003-2005, 7-9 years,Married,Standard,Unknown,Comprehensive,Tax-qualified,No inflation protection,Yes,Yes,200+,200+,200+, Unlimited, Unlimited, Unlimited,  90,  90,   0,02: Northeast,2,2,0,0,0,0,0
Group,Male,50-54,75-79, < 1991,15+ years,Married,Standard,Other,Comprehensive,Tax-qualified,No inflation protection,No,No,100-199,100-199,100-199,Unknown,Unknown,Unknown,   0,   0,   0,03: South,48.749996,52.749996,1,1,0,0,0
Individual,Female,50-54,60-64,1991-1993, 7-9 years,Unknown,Standard,Full underwriting,Other,Non-tax-qualified,No inflation protection,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,   0,   0,   0,03: South,12.749998,12.749998,0,0,0,0,0
Individual,Male,65-69,65-69,2000-2002, 1-3 years,Married,Preferred,Full underwriting,Comprehensive,Non-tax-qualified,Inflation protection,Yes,No, < 100, < 100, < 100,  3-4 year,  3-4 year,  3-4 year,   0,   0,   0,03: South,3,3,0,0,0,0,0
Individual,Female,65-69,75-79,1997-1999, 7-9 years,Married,Preferred,Other,Comprehensive,Non-tax-qualified,No inflation protection,Yes,No,100-199, < 100,100-199, Unlimited,Unknown,   < 3 year,  30,  30,  20,03: South,3,3,0,0,0,0,0
Individual,Male,55-59,70-74,1997-1999,15+ years,Married,Standard,Unknown,Comprehensive,Non-tax-qualified,Inflation protection,Yes,Yes,100-199,200+,200+, Unlimited, Unlimited, Unlimited,   0,   0,   0,03: South,1.583333,1.583333,0,0,0,0,0
Individual,Female,55-59,65-69,1997-1999,10-12 years,Single,Preferred,Full underwriting,Comprehensive,Tax-qualified,Inflation protection,No,No,Unknown,Unknown,Unknown,  5-9 year,  5-9 year,  3-4 year,   0,   0,   0,03: South,10.5,10.5,0,0,0,0,0
Individual,Female, 0-49, 0-49,1997-1999, 1-3 years,Married,Standard,Full underwriting,Comprehensive,Tax-qualified,Inflation protection,Yes,No,100-199,100-199,100-199, Unlimited, Unlimited, Unlimited, 180, 180,  30,03: South,1.25,1.25,0,0,0,0,0
Individual,Female,55-59,60-64,2003-2005, 7-9 years,Married,Standard,Full underwriting,Comprehensive,Tax-qualified,Inflation protection,Yes,No, < 100, < 100, < 100, Unlimited, Unlimited, Unlimited,  30,  30,  30,Unknown,16,16,0,0,0,0,0
Individual,Male,50-54,65-69,1997-1999,15+ years,Single,Preferred,Other,Comprehensive,Non-tax-qualified,Inflation protection,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,   0,   0,   0,04: West,3.25,3.25,0,0,0,0,0
Group,Male,65-69,70-74,2003-2005, 7-9 years,Married,Standard,Other,Comprehensive,Non-tax-qualified,Inflation protection,Yes,No, < 100, < 100, < 100,  5-9 year,Unknown,  5-9 year,   0,   0,   0,02: Northeast,3,3,0,0,0,0,0
Individual,Male,50-54,50-54,2003-2005, 4-6 years,Single,Preferred,Full underwriting,Comprehensive,Tax-qualified,Inflation protection,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,   0,   0,   0,03: South,5,5,0,0,0,0,0
Group,Female, 0-49, 0-49,2000-2002, 1-3 years,Unknown,Standard,Unknown,Comprehensive,Tax-qualified,No inflation protection,No,No,200+,200+,200+,Unknown,Unknown,Unknown,   0,   0,   0,Unknown,8,8,0,0,0,0,0
Individual,Female,60-64,65-69,2000-2002, 4-6 years,Married,Preferred,Full underwriting,Comprehensive,Tax-qualified,GPO,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,   0,   0,   0,Unknown,180,180,0,0,0,0,0
Individual,Female,70-74,70-74,2012-2014, 1-3 years,Single,Standard,Unknown,Comprehensive,Tax-qualified,No inflation protection,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,   0,   0,   0,02: Northeast,11.333333,11.333333,0,0,0,0,0
Individual,Female,55-59,55-59,2003-2005, 1-3 years,Married,Substandard,Full underwriting,Comprehensive,Tax-qualified,No inflation protection,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,   0,   0,   0,02: Northeast,8.3333321,8.3333321,0,0,0,0,0
Individual,Female,55-59,55-59,2006-2008, 1-3 years,Single,Preferred,Other,Comprehensive,Tax-qualified,Inflation protection,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,   0,   0,   0,Unknown,26.25,26.25,0,0,0,0,0
Individual,Female,50-54,50-54,2003-2005, 1-3 years,Unknown,Standard,Full underwriting,Other,Non-tax-qualified,No inflation protection,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,   0,   0,   0,04: West,7,7,0,0,0,0,0
Individual,Male,70-74,70-74,2000-2002, 7-9 years,Married,Preferred,Unknown,Other,Tax-qualified,No inflation protection,Yes,Yes,100-199,100-199,Unknown, Unlimited, Unlimited,Unknown,   0,   0,   0,04: West,2,2,0,0,0,0,0
Individual,Male,65-69,85-89,1991-1993,15+ years,Single,Standard,Full underwriting,Other,Non-tax-qualified,Inflation protection,Yes,No,100-199,100-199,Unknown,  3-4 year,  3-4 year,Unknown,  90,  90,   0,Unknown,3.166666,3.166666,0,0,0,0,0
Individual,Male,70-74,80-84,1994-1996,13-15 years,Married,Standard,Unknown,Other,Non-tax-qualified,Inflation protection,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,   0,   0,   0,03: South,62.249996,67,1,1,0,0,0
Individual,Female,50-54,65-69,1991-1993,13-15 years,Married,Standard,Other,Comprehensive,Non-tax-qualified,GPO,Yes,No,Unknown,Unknown,Unknown, Unlimited,Unknown,   < 3 year,   0,   0,   0,01: Mid-West,9,9,0,0,0,0,0
Individual,Male,60-64,60-64,2012-2014, 4-6 years,Married,Substandard,Full underwriting,Comprehensive,Tax-qualified,Inflation protection,No,Yes,100-199,100-199, < 100,  3-4 year,  3-4 year,  5-9 year,  90,  90,  20,03: South,2.166666,2.166666,0,0,0,0,0
Individual,Female,70-74,70-74,2000-2002, 1-3 years,Unknown,Preferred,Unknown,Other,Non-tax-qualified,No inflation protection,Yes,No, < 100, < 100,Unknown,   < 3 year,   < 3 year,Unknown,  20,  20,   0,03: South,3,3,0,0,0,0,0
Individual,Female,70-74,80-84,1997-1999,10-12 years,Married,Standard,Full underwriting,Comprehensive,Non-tax-qualified,No inflation protection,Yes,Yes,200+,200+,200+,   < 3 year,   < 3 year,   < 3 year,  90,   0,   0,03: South,3,3,0,0,0,0,0
Individual,Female,55-59,70-74,1997-1999,15+ years,Married,Preferred,Full underwriting,Comprehensive,Non-tax-qualified,No inflation protection,No,No,200+,200+,100-199,  5-9 year,  5-9 year,  3-4 year,  90,  90,  90,03: South,3,3,0,0,0,0,0
Group,Female, 0-49,50-54,1997-1999, 7-9 years,Married,Standard,Other,Comprehensive,Tax-qualified,No inflation protection,No,No,200+,200+,200+,Unknown,Unknown,Unknown,   0,   0,   0,02: Northeast,24,24,0,0,0,0,0
Individual,Female,55-59,65-69,1991-1993,13-15 years,Single,Standard,Full underwriting,Comprehensive,Non-tax-qualified,No inflation protection,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,   0,   0,   0,03: South,1.916666,1.916666,0,0,0,0,0
Individual,Female,70-74,85-89, < 1991,15+ years,Single,Standard,Full underwriting,Comprehensive,Non-tax-qualified,Inflation protection,No,No,200+,200+,200+,   < 3 year,   < 3 year, Unlimited,  20,   0,   0,01: Mid-West,1.083333,3.166666,1,1,0,0,0
Individual,Male,75-79,80-84,2009-2011, 7-9 years,Married,Preferred,Full underwriting,Comprehensive,Tax-qualified,No inflation protection,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,   0,   0,   0,Unknown,2.3333321,2.3333321,0,0,0,0,0
Individual,Male,60-64,75-79,1997-1999,10-12 years,Married,Standard,Full underwriting,Other,Tax-qualified,Inflation protection,Yes,Yes, < 100, < 100,Unknown,  5-9 year,  5-9 year,Unknown,  90,  90,   0,Unknown,21,21,0,0,0,0,0
Individual,Female,50-54,65-69,1994-1996,13-15 years,Unknown,Standard,Full underwriting,Comprehensive,Non-tax-qualified,No inflation protection,Yes,Yes,200+,Unknown,200+,   < 3 year,Unknown,   < 3 year,   0,   0,   0,02: Northeast,3,3,0,0,0,0,0
Individual,Male,55-59,55-59,2003-2005, 1-3 years,Married,Standard,Unknown,Comprehensive,Tax-qualified,No inflation protection,No,Yes,200+,200+,200+,  5-9 year,  5-9 year,  5-9 year,  90,  90,  90,04: West,3,3,0,0,0,0,0
Group,Female,70-74,85-89,2000-2002,13-15 years,Single,Preferred,Other,Comprehensive,Non-tax-qualified,Inflation protection,Yes,No, < 100, < 100, < 100, Unlimited,Unknown,   < 3 year,  90,  30,  30,03: South,2,2,1,0,0,1,0
Individual,Female,55-59,60-64,1997-1999, 7-9 years,Unknown,Standard,Unknown,Other,Non-tax-qualified,GPO,Yes,Yes,Unknown,Unknown,Unknown,  5-9 year,  5-9 year,  5-9 year,   0,   0,   0,04: West,6,6,0,0,0,0,0
Individual,Female,55-59,55-59,1997-1999, 1-3 years,Married,Preferred,Other,Comprehensive,Tax-qualified,Inflation protection,Yes,No, < 100, < 100, < 100, 10+ years,Unknown,  3-4 year,   0,   0,   0,03: South,2.5,2.5,0,0,0,0,0
Individual,Male,60-64,70-74,2003-2005, 7-9 years,Unknown,Substandard,Full underwriting,Comprehensive,Non-tax-qualified,No inflation protection,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,   0,   0,   0,01: Mid-West,15,15,1,1,0,0,0
Individual,Male,75-79,85-89,2006-2008, 7-9 years,Unknown,Standard,Full underwriting,Comprehensive,Tax-qualified,GPO,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,   0,   0,   0,01: Mid-West,1.25,1.25,0,0,0,0,0
Individual,Male,65-69,70-74,2003-2005, 4-6 years,Single,Preferred,Full underwriting,Comprehensive,Tax-qualified,Inflation protection,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,   0,   0,   0,01: Mid-West,8,8,0,0,0,0,0
Individual,Female,50-54,50-54,2000-2002, 1-3 years,Married,Preferred,Full underwriting,Comprehensive,Tax-qualified,Inflation protection,No,No, < 100, < 100, < 100, Unlimited, Unlimited, Unlimited,   0,   0,   0,01: Mid-West,2,2,0,0,0,0,0
Individual,Male,65-69,65-69,1997-1999, 1-3 years,Married,Preferred,Other,Comprehensive,Non-tax-qualified,No inflation protection,Yes,No,100-199, < 100, < 100,Unknown,Unknown,Unknown,   0,   0,   0,01: Mid-West,9,9,0,0,0,0,0
Individual,Female,70-74,80-84,2003-2005,13-15 years,Married,Preferred,Other,Comprehensive,Tax-qualified,No inflation protection,No,No,100-199,100-199,100-199,Unknown,Unknown,Unknown,  30,  30,   0,04: West,1.5,1.5,0,0,0,0,0
Individual,Male,60-64,70-74,1991-1993,10-12 years,Married,Standard,Other,Comprehensive,Non-tax-qualified,GPO,Yes,No,Unknown,Unknown,Unknown,  3-4 year,Unknown,  3-4 year,   0,   0,   0,03: South,6,6,0,0,0,0,0
Individual,Female, 0-49,55-59,2003-2005, 7-9 years,Single,Standard,Full underwriting,Comprehensive,Tax-qualified,Unknown,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,   0,   0,   0,Unknown,19,19,0,0,0,0,0
Group,Male, 0-49,50-54,2000-2002,15+ years,Married,Standard,Other,Comprehensive,Tax-qualified,No inflation protection,No,No,200+,100-199,100-199,Unknown,Unknown,Unknown,   0,   0,   0,04: West,2,2,0,0,0,0,0
Individual,Female,60-64,70-74,1994-1996,13-15 years,Married,Standard,Other,Comprehensive,Non-tax-qualified,No inflation protection,Yes,No, < 100, < 100, < 100,Unknown,Unknown,Unknown, 180, 180,  20,04: West,3,3,0,0,0,0,0
Individual,Female,65-69,75-79,1991-1993,13-15 years,Married,Preferred,Other,Comprehensive,Non-tax-qualified,No inflation protection,Yes,No, < 100, < 100, < 100,Unknown,Unknown,Unknown,   0,   0,   0,03: South,3,3,0,0,0,0,0
Individual,Male,65-69,80-84,1997-1999,15+ years,Married,Substandard,Other,Comprehensive,Non-tax-qualified,No inflation protection,Yes,No, < 100,Unknown, < 100,Unknown,Unknown,Unknown,   0,   0,   0,02: Northeast,2,2,0,0,0,0,0
Individual,Female,55-59,70-74,1997-1999,15+ years,Married,Standard,Other,Comprehensive,Tax-qualified,Inflation protection,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,   0,   0,   0,Unknown,17.083332,17.083332,0,0,0,0,0
Individual,Female,60-64,70-74,1997-1999,13-15 years,Married,Substandard,Full underwriting,Comprehensive,Tax-qualified,No inflation protection,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,   0,   0,   0,03: South,0.66666597,4.666666,0,0,0,0,0
Individual,Male,60-64,70-74,1997-1999,10-12 years,Married,Standard,Full underwriting,Comprehensive,Tax-qualified,Inflation protection,No,No, < 100, < 100, < 100,Unknown,Unknown,Unknown,  90,  90,  30,04: West,11,11,0,0,0,0,0
Individual,Male,65-69,70-74,1991-1993, 7-9 years,Single,Standard,Full underwriting,Comprehensive,Non-tax-qualified,Inflation protection,No,Yes,200+,Unknown,200+, Unlimited,Unknown,   < 3 year,   0,   0,   0,04: West,2,2,0,0,0,0,0
Individual,Female,55-59,55-59,1997-1999, 1-3 years,Married,Standard,Other,Other,Tax-qualified,Inflation protection,Yes,No, < 100, < 100,Unknown, Unlimited,Unknown,Unknown,   0,   0,   0,01: Mid-West,5,5,0,0,0,0,0
Individual,Female,50-54,50-54,1994-1996, 4-6 years,Single,Preferred,Full underwriting,Other,Non-tax-qualified,No inflation protection,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,   0,   0,   0,04: West,1.916666,1.916666,0,0,0,0,0
Individual,Female,60-64,70-74,2000-2002, 7-9 years,Married,Preferred,Unknown,Comprehensive,Tax-qualified,Inflation protection,Yes,Yes,100-199,100-199,100-199,Unknown,Unknown,Unknown,   0,   0,   0,Unknown,6,6,0,0,0,0,0
Individual,Female,55-59,60-64,2003-2005, 4-6 years,Married,Preferred,Full underwriting,Other,Tax-qualified,Inflation protection,Yes,No, < 100, < 100,Unknown,  5-9 year,  5-9 year,Unknown,  20,  20,   0,Unknown,3,3,0,0,0,0,0
Individual,Male,65-69,70-74,2003-2005, 7-9 years,Married,Substandard,Full underwriting,Comprehensive,Tax-qualified,No inflation protection,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,   0,   0,   0,03: South,24.249998,25.999998,1,0,0,1,0
Individual,Male,60-64,60-64,2012-2014, 1-3 years,Married,Standard,Other,Comprehensive,Non-tax-qualified,No inflation protection,No,No,100-199,100-199,100-199,Unknown,Unknown,Unknown,  90,  90,   0,04: West,64.833336,64.833336,1,0,0,1,0
Individual,Male,55-59,70-74,2003-2005,13-15 years,Married,Standard,Full underwriting,Comprehensive,Tax-qualified,Inflation protection,Yes,No, < 100, < 100, < 100,  3-4 year,  3-4 year,  3-4 year,  90,  90,  30,04: West,4.499999,4.499999,0,0,0,0,0
Individual,Male,70-74,70-74,2012-2014, 4-6 years,Single,Preferred,Unknown,Comprehensive,Tax-qualified,Inflation protection,No,No, < 100, < 100, < 100,Unknown,Unknown,Unknown,   0,   0,   0,Unknown,1.249999,1.249999,0,0,0,0,0
Individual,Female,55-59,65-69,1994-1996, 7-9 years,Married,Standard,Full underwriting,Comprehensive,Non-tax-qualified,No inflation protection,Yes,No,100-199,100-199, < 100,   < 3 year,   < 3 year,   < 3 year,  90,  90,  90,Unknown,2,2,0,0,0,0,0
Group,Male,70-74,80-84,2006-2008,10-12 years,Unknown,Standard,Other,Comprehensive,Tax-qualified,No inflation protection,No,No,100-199,100-199,100-199,Unknown,Unknown,Unknown,   0,   0,   0,03: South,1.666665,1.666665,0,0,0,0,0
Individual,Male,85-89,85-89,2000-2002, 4-6 years,Unknown,Standard,Unknown,Other,Non-tax-qualified,No inflation protection,Yes,Yes,Unknown,Unknown,100-199,Unknown,Unknown,   < 3 year,   0,   0,   0,03: South,1.5,2.833333,0,0,0,0,0
Individual,Female,65-69,75-79,1997-1999,10-12 years,Unknown,Preferred,Unknown,Comprehensive,Non-tax-qualified,No inflation protection,Yes,Yes,100-199, < 100,100-199,  5-9 year,  5-9 year,  5-9 year,   0,   0,   0,01: Mid-West,2,2,1,1,0,0,0
Individual,Female,60-64,75-79,1991-1993,15+ years,Married,Preferred,Other,Comprehensive,Non-tax-qualified,Inflation protection,Yes,No, < 100, < 100,100-199, Unlimited,Unknown,   < 3 year,   0,  20,  20,04: West,4,4,0,0,0,0,0
Individual,Female, 0-49, 0-49,2000-2002, 1-3 years,Married,Preferred,Full underwriting,Comprehensive,Tax-qualified,Inflation protection,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,   0,   0,   0,04: West,193,193,0,0,0,0,0
Individual,Female,75-79,80-84,2000-2002, 1-3 years,Married,Standard,Unknown,Comprehensive,Tax-qualified,No inflation protection,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,   0,   0,   0,03: South,3.583333,3.583333,0,0,0,0,0
Individual,Male,75-79,80-84,2003-2005, 7-9 years,Married,Preferred,Full underwriting,Comprehensive,Tax-qualified,No inflation protection,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,   0,   0,   0,01: Mid-West,16.833332,23.833332,2,2,0,0,0
Individual,Male,50-54,60-64,1997-1999,10-12 years,Married,Standard,Full underwriting,Comprehensive,Tax-qualified,Inflation protection,Yes,No,100-199, < 100, < 100,Unknown,Unknown,Unknown,   0,   0,   0,Unknown,3,3,0,0,0,0,0
Individual,Female,60-64,75-79,2000-2002,10-12 years,Married,Preferred,Full underwriting,Comprehensive,Tax-qualified,Inflation protection,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,   0,   0,   0,02: Northeast,10,10,0,0,0,0,0
Group,Female,55-59,60-64,2000-2002, 7-9 years,Married,Standard,Other,Comprehensive,Tax-qualified,No inflation protection,Yes,No,100-199,100-199,100-199,Unknown,Unknown,Unknown,   0,   0,   0,03: South,3,3,0,0,0,0,0
Individual,Male,55-59,55-59,2012-2014, 1-3 years,Married,Standard,Full underwriting,Comprehensive,Tax-qualified,No inflation protection,Yes,No,100-199,100-199,100-199,Unknown,Unknown,Unknown,  90,  90,   0,04: West,3,3,0,0,0,0,0
Group,Female,70-74,85-89, < 1991,10-12 years,Married,Standard,Other,Other,Non-tax-qualified,GPO,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,   0,   0,   0,03: South,5,5,0,0,0,0,0
Individual,Female,55-59,60-64,2003-2005, 7-9 years,Married,Preferred,Full underwriting,Comprehensive,Tax-qualified,Inflation protection,Yes,No,100-199, < 100, < 100,  3-4 year,  5-9 year,  5-9 year,Unknown,Unknown,Unknown,Unknown,4,4,0,0,0,0,0
Individual,Female,55-59,65-69,2006-2008, 7-9 years,Married,Standard,Full underwriting,Comprehensive,Tax-qualified,GPO,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,   0,   0,   0,01: Mid-West,80.916656,80.916656,1,0,0,0,0
Individual,Male, 0-49, 0-49,2003-2005, 1-3 years,Single,Preferred,Full underwriting,Comprehensive,Non-tax-qualified,Inflation protection,Yes,No, < 100, < 100, < 100, Unlimited, Unlimited,  5-9 year,   0,   0,   0,01: Mid-West,3,3,0,0,0,0,0
Individual,Female,70-74,75-79,2006-2008, 4-6 years,Married,Standard,Full underwriting,Comprehensive,Tax-qualified,No inflation protection,Yes,No,100-199,100-199,100-199,Unknown,Unknown,Unknown,  90,  90,  90,01: Mid-West,3,3,0,0,0,0,0
Individual,Female,65-69,70-74,1994-1996, 7-9 years,Single,Standard,Other,Comprehensive,Non-tax-qualified,GPO,Yes,No,Unknown,Unknown,Unknown,  3-4 year,Unknown,  3-4 year,   0,   0,   0,01: Mid-West,3,3,0,0,0,0,0
